model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,1,3,-1,0.0,0.05,16344,16344,0,308,999999999,343,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,16468,16468,0,315,999999999,345,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,16340,16340,0,309,999999999,339,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,16401,16401,0,319,999999999,338,-1,50,0,false,3,3,7,3
NS,1,3,-1,0.0,0.05,16440,16440,0,318,999999999,343,-1,50,0,false,4,3,7,3
NS,0,3,-1,0.0,0.05,16476,16476,0,315,999999999,339,-1,50,0,false,0,3,7,3
NS,0,3,-1,0.0,0.05,16372,16372,0,304,999999999,338,-1,50,0,false,1,3,7,3
NS,0,3,-1,0.0,0.05,16535,16535,0,318,999999999,341,-1,50,0,false,2,3,7,3
NS,0,3,-1,0.0,0.05,16419,16419,0,314,999999999,341,-1,50,0,false,3,3,7,3
NS,0,3,-1,0.0,0.05,16410,16410,0,313,999999999,338,-1,50,0,false,4,3,7,3
NS,1,3,-1,0.0,0.05,16292,16292,0,305,999999999,340,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,16409,16409,0,314,999999999,339,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,16371,16371,0,300,999999999,340,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,16380,16380,0,318,999999999,339,-1,50,0,false,3,3,7,3
NS,1,3,-1,0.0,0.05,16284,16284,0,295,999999999,336,-1,50,0,false,4,3,7,3
NS,0,3,-1,0.0,0.05,16487,16487,0,314,999999999,338,-1,50,0,false,0,3,7,3
NS,0,3,-1,0.0,0.05,16435,16435,0,319,999999999,343,-1,50,0,false,1,3,7,3
NS,0,3,-1,0.0,0.05,16464,16464,0,315,999999999,339,-1,50,0,false,2,3,7,3
NS,0,3,-1,0.0,0.05,16426,16426,0,313,999999999,336,-1,50,0,false,3,3,7,3
NS,0,3,-1,0.0,0.05,16386,16386,0,314,999999999,337,-1,50,0,false,4,3,7,3
NS,1,3,-1,0.0,0.05,16467,16467,0,315,999999999,346,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,16459,16459,0,311,999999999,341,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,16237,16237,0,302,999999999,338,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,16337,16337,0,310,999999999,339,-1,50,0,false,3,3,7,3
