model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,1,3,-1,0.0,0.05,494018,494018,0,9809,999999999,9959,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,493562,493562,0,9785,999999999,9931,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,493687,493687,0,9774,999999999,9939,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,489431,489431,0,9730,999999999,9837,-1,50,0,false,3,3,7,3
NS,1,3,-1,0.0,0.05,488983,488983,0,9716,999999999,9846,-1,50,0,false,4,3,7,3
NS,0,3,-1,0.0,0.05,493999,493999,0,9838,999999999,9961,-1,50,0,false,0,3,7,3
NS,0,3,-1,0.0,0.05,493709,493709,0,9817,999999999,9949,-1,50,0,false,1,3,7,3
NS,0,3,-1,0.0,0.05,493877,493877,0,9792,999999999,9938,-1,50,0,false,2,3,7,3
NS,0,3,-1,0.0,0.05,493992,493992,0,9802,999999999,9950,-1,50,0,false,3,3,7,3
NS,0,3,-1,0.0,0.05,493740,493740,0,9814,999999999,9946,-1,50,0,false,4,3,7,3
NS,1,3,-1,0.0,0.05,492804,492804,0,9743,999999999,9915,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,492820,492820,0,9704,999999999,9923,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,493307,493307,0,9780,999999999,9942,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,489488,489488,0,9740,999999999,9856,-1,50,0,false,3,3,7,3
NS,1,3,-1,0.0,0.05,489709,489709,0,9721,999999999,9881,-1,50,0,false,4,3,7,3
NS,0,3,-1,0.0,0.05,494381,494381,0,9824,999999999,9934,-1,50,0,false,0,3,7,3
NS,0,3,-1,0.0,0.05,494247,494247,0,9819,999999999,9944,-1,50,0,false,1,3,7,3
NS,0,3,-1,0.0,0.05,494275,494275,0,9825,999999999,9951,-1,50,0,false,2,3,7,3
NS,0,3,-1,0.0,0.05,494086,494086,0,9799,999999999,9949,-1,50,0,false,3,3,7,3
NS,0,3,-1,0.0,0.05,494403,494403,0,9811,999999999,9939,-1,50,0,false,4,3,7,3
NS,1,3,-1,0.0,0.05,492658,492658,0,9761,999999999,9929,-1,50,0,false,0,3,7,3
NS,1,3,-1,0.0,0.05,492713,492713,0,9772,999999999,9939,-1,50,0,false,1,3,7,3
NS,1,3,-1,0.0,0.05,489267,489267,0,9662,999999999,9870,-1,50,0,false,2,3,7,3
NS,1,3,-1,0.0,0.05,493077,493077,0,9725,999999999,9976,-1,50,0,false,3,3,7,3
NS,1,3,-1,0.0,0.05,492780,492780,0,9769,999999999,9925,-1,50,0,false,4,3,7,3
NS,0,3,-1,0.0,0.05,494472,494472,0,9828,999999999,9946,-1,50,0,false,0,3,7,3
NS,0,3,-1,0.0,0.05,494214,494214,0,9810,999999999,9941,-1,50,0,false,1,3,7,3
